序号,名称,类型,上映日期,片长,评分,收入（百万）
180,Ant-Man,"Action,Adventure,Comedy",2015,117,7.3,180.19
181,Bridget Jones's Baby,"Comedy,Romance",2016,118,6.7,24.09
182,The VVitch: A New-England Folktale,"Horror,Mystery",2015,92,6.8,25.14
183,Cinderella,"Drama,Family,Fantasy",2015,105,7,201.15
184,Realive,Sci-Fi,2016,112,5.9,
185,Forushande,"Drama,Thriller",2016,124,8,3.4
186,Love,"Drama,Romance",2015,135,6,
187,Billy Lynn's Long Halftime Walk,"Drama,War",2016,113,6.3,1.72
188,Crimson Peak,"Drama,Fantasy,Horror",2015,119,6.6,31.06
189,Drive,"Crime,Drama",2011,100,7.8,35.05
190,Trainwreck,"Comedy,Drama,Romance",2015,125,6.3,110.01
191,The Light Between Oceans,"Drama,Romance",2016,133,7.2,12.53
192,Below Her Mouth,Drama,2016,94,5.6,
193,Spotlight,"Crime,Drama,History",2015,128,8.1,44.99
194,Morgan,"Horror,Sci-Fi,Thriller",2016,92,5.8,3.91
195,Warrior,"Action,Drama,Sport",2011,140,8.2,13.65
196,Captain America: The First Avenger,"Action,Adventure,Sci-Fi",2011,124,6.9,176.64
197,Hacker,"Crime,Drama,Thriller",2016,95,6.3,
198,Into the Wild,"Adventure,Biography,Drama",2007,148,8.1,18.35
199,The Imitation Game,"Biography,Drama,Thriller",2014,114,8.1,91.12
200,Central Intelligence,"Action,Comedy,Crime",2016,107,6.3,127.38
201,Edge of Tomorrow,"Action,Adventure,Sci-Fi",2014,113,7.9,100.19
202,A Cure for Wellness,"Drama,Fantasy,Horror",2016,146,6.5,8.1
203,Snowden,"Biography,Drama,Thriller",2016,134,7.3,21.48
204,Iron Man,"Action,Adventure,Sci-Fi",2008,126,7.9,318.3
205,Allegiant,"Action,Adventure,Mystery",2016,120,5.7,66
206,X: First Class,"Action,Adventure,Sci-Fi",2011,132,7.8,146.41
207,Raw (II),"Drama,Horror",2016,99,7.5,0.51
208,Paterson,"Comedy,Drama,Romance",2016,118,7.5,2.14
209,Bridesmaids,"Comedy,Romance",2011,125,6.8,169.08
210,The Girl with All the Gifts,"Drama,Horror,Thriller",2016,111,6.7,
211,San Andreas,"Action,Adventure,Drama",2015,114,6.1,155.18
212,Spring Breakers,Drama,2012,94,5.3,14.12
213,Transformers,"Action,Adventure,Sci-Fi",2007,144,7.1,318.76
214,Old Boy,"Action,Drama,Mystery",2013,104,5.8,
215,Thor: The Dark World,"Action,Adventure,Fantasy",2013,112,7,206.36
216,Gods of Egypt,"Action,Adventure,Fantasy",2016,126,5.5,31.14
217,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",2014,136,7.8,259.75
218,Monster Trucks,"Action,Adventure,Comedy",2016,104,5.7,33.04
219,A Dark Song,"Drama,Horror",2016,100,6.1,
220,Kick-Ass,"Action,Comedy",2010,117,7.7,48.04
221,Hardcore Henry,"Action,Adventure,Sci-Fi",2015,96,6.7,9.24
222,Cars,"Animation,Adventure,Comedy",2006,117,7.1,244.05
223,It Follows,"Horror,Mystery",2014,100,6.9,14.67
224,The Girl with the Dragon Tattoo,"Crime,Drama,Mystery",2011,158,7.8,102.52
225,We're the Millers,"Comedy,Crime",2013,110,7,150.37
226,American Honey,Drama,2016,163,7,0.66
227,The Lobster,"Comedy,Drama,Romance",2015,119,7.1,8.7
228,Predators,"Action,Adventure,Sci-Fi",2010,107,6.4,52
229,Maleficent,"Action,Adventure,Family",2014,97,7,241.41
230,Rupture,"Horror,Sci-Fi,Thriller",2016,102,4.8,
231,Pan's Labyrinth,"Drama,Fantasy,War",2006,118,8.2,37.62
232,A Kind of Murder,"Crime,Drama,Thriller",2016,95,5.2,0
233,Apocalypto,"Action,Adventure,Drama",2006,139,7.8,50.86
234,Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller",2015,131,7.4,195
235,The Huntsman: Winter's War,"Action,Adventure,Drama",2016,114,6.1,47.95
236,The Perks of Being a Wallflower,"Drama,Romance",2012,102,8,17.74
237,Jackie,"Biography,Drama,History",2016,100,6.8,13.96
238,The Disappointments Room,"Drama,Horror,Thriller",2016,85,3.9,2.41
239,The Grand Budapest Hotel,"Adventure,Comedy,Drama",2014,99,8.1,59.07
240,The Host,"Action,Adventure,Romance",2013,125,5.9,26.62
241,Fury,"Action,Drama,War",2014,134,7.6,85.71
242,Inside Out,"Animation,Adventure,Comedy",2015,95,8.2,356.45
243,Rock Dog,"Animation,Adventure,Comedy",2016,90,5.8,9.4
244,Terminator Genisys,"Action,Adventure,Sci-Fi",2015,126,6.5,89.73
245,Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Family,Fantasy",2010,118,5.9,88.76
246,Les Mis茅rables,"Drama,Musical,Romance",2012,158,7.6,148.78
247,Children of Men,"Drama,Sci-Fi,Thriller",2006,109,7.9,35.29
248,20th Century Women,"Comedy,Drama",2016,119,7.4,5.66
249,Spy,"Action,Comedy,Crime",2015,119,7.1,110.82
250,The Intouchables,"Biography,Comedy,Drama",2011,112,8.6,13.18
251,Bonjour Anne,"Comedy,Drama,Romance",2016,92,4.9,0.32
252,Kynodontas,"Drama,Thriller",2009,94,7.3,0.11
253,Straight Outta Compton,"Biography,Drama,History",2015,147,7.9,161.03
254,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",2014,142,6.7,202.85
255,The Conjuring,"Horror,Mystery,Thriller",2013,112,7.5,137.39
256,The Hangover,Comedy,2009,100,7.8,277.31
257,Battleship,"Action,Adventure,Sci-Fi",2012,131,5.8,65.17
258,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi",2011,105,7.6,176.74
259,Lights Out,Horror,2016,81,6.4,67.24
260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Drama,Thriller",2016,118,7.1,2.27
261,Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama,Romance",2014,119,7.8,42.34
262,Black Swan,"Drama,Thriller",2010,108,8,106.95
263,Dear White People,"Comedy,Drama",2014,108,6.2,4.4
264,Nymphomaniac: Vol. I,Drama,2013,117,7,0.79
265,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy",2016,112,6,0.54
266,Knock Knock,"Drama,Horror,Thriller",2015,99,4.9,0.03
267,Dirty Grandpa,Comedy,2016,102,6,35.54
268,Cloud Atlas,"Drama,Sci-Fi",2012,172,7.5,27.1
269,X-Men Origins: Wolverine,"Action,Adventure,Sci-Fi",2009,107,6.7,179.88
270,Satanic,Horror,2016,85,3.7,
271,Skyfall,"Action,Adventure,Thriller",2012,143,7.8,304.36
272,The Hobbit: An Unexpected Journey,"Adventure,Fantasy",2012,169,7.9,303
273,21 Jump Street,"Action,Comedy,Crime",2012,110,7.2,138.45
274,Sing Street,"Comedy,Drama,Music",2016,106,8,3.23
275,Ballerina,"Animation,Adventure,Comedy",2016,89,6.8,
276,Oblivion,"Action,Adventure,Mystery",2013,124,7,89.02
277,22 Jump Street,"Action,Comedy,Crime",2014,112,7.1,191.62
278,Zodiac,"Crime,Drama,History",2007,157,7.7,33.05
279,Everybody Wants Some!!,Comedy,2016,117,7,3.37
280,Iron Man Three,"Action,Adventure,Sci-Fi",2013,130,7.2,408.99
281,Now You See Me,"Crime,Mystery,Thriller",2013,115,7.3,117.7
282,Sherlock Holmes,"Action,Adventure,Crime",2009,128,7.6,209.02
283,Death Proof,Thriller,2007,113,7.1,
284,The Danish Girl,"Biography,Drama,Romance",2015,119,7,12.71
285,Hercules,"Action,Adventure",2014,98,6,72.66
286,Sucker Punch,"Action,Fantasy",2011,110,6.1,36.38
287,Keeping Up with the Joneses,"Action,Comedy",2016,105,5.8,14.9
288,Jupiter Ascending,"Action,Adventure,Sci-Fi",2015,127,5.3,47.38
289,Masterminds,"Action,Comedy,Crime",2016,95,5.8,17.36
290,Iris,Thriller,2016,99,6.1,
291,Busanhaeng,"Action,Drama,Horror",2016,118,7.5,2.13
292,Pitch Perfect,"Comedy,Music,Romance",2012,112,7.2,65
293,Neighbors 2: Sorority Rising,Comedy,2016,92,5.7,55.29
294,The Exception,Drama,2016,107,7.7,
295,Man of Steel,"Action,Adventure,Fantasy",2013,143,7.1,291.02
296,The Choice,"Drama,Romance",2016,111,6.6,18.71
297,Ice Age: Collision Course,"Animation,Adventure,Comedy",2016,94,5.7,64.06
298,The Devil Wears Prada,"Comedy,Drama",2006,109,6.8,124.73
299,The Infiltrator,"Biography,Crime,Drama",2016,127,7.1,15.43
300,There Will Be Blood,"Drama,History",2007,158,8.1,40.22
301,The Equalizer,"Action,Crime,Thriller",2014,132,7.2,101.53
302,Lone Survivor,"Action,Biography,Drama",2013,121,7.5,125.07
303,The Cabin in the Woods,Horror,2012,95,7,42.04
304,The House Bunny,"Comedy,Romance",2008,97,5.5,48.24
305,She's Out of My League,"Comedy,Romance",2010,104,6.4,31.58
306,Inherent Vice,"Comedy,Crime,Drama",2014,148,6.7,8.09
307,Alice Through the Looking Glass,"Adventure,Family,Fantasy",2016,113,6.2,77.04
308,Vincent N Roxxy,"Crime,Drama,Thriller",2016,110,5.5,
309,The Fast and the Furious: Tokyo Drift,"Action,Crime,Thriller",2006,104,6,62.49
310,How to Be Single,"Comedy,Romance",2016,110,6.1,46.81
311,The Blind Side,"Biography,Drama,Sport",2009,129,7.7,255.95
312,La vie d'Ad猫le,"Drama,Romance",2013,180,7.8,2.2
313,The Babadook,"Drama,Horror",2014,93,6.8,0.92
314,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",2014,144,7.4,255.11
315,Harry Potter and the Order of the Phoenix,"Adventure,Family,Fantasy",2007,138,7.5,292
316,Snowpiercer,"Action,Drama,Sci-Fi",2013,126,7,4.56
317,The 5th Wave,"Action,Adventure,Sci-Fi",2016,112,5.2,34.91
318,The Stakelander,"Action,Horror",2016,81,5.3,
319,The Visit,"Comedy,Horror,Thriller",2015,94,6.2,65.07
320,Fast Five,"Action,Crime,Thriller",2011,131,7.3,209.81
321,Step Up,"Crime,Drama,Music",2006,104,6.5,65.27
322,Lovesong,Drama,2016,84,6.4,0.01
323,RocknRolla,"Action,Crime,Thriller",2008,114,7.3,5.69
324,In Time,"Action,Sci-Fi,Thriller",2011,109,6.7,37.55
325,The Social Network,"Biography,Drama",2010,120,7.7,96.92
326,The Last Witch Hunter,"Action,Adventure,Fantasy",2015,106,6,27.36
327,Victor Frankenstein,"Drama,Horror,Sci-Fi",2015,110,6,5.77
328,A Street Cat Named Bob,"Biography,Comedy,Drama",2016,103,7.4,0.04
329,Green Room,"Crime,Horror,Thriller",2015,95,7,3.22
330,Blackhat,"Crime,Drama,Mystery",2015,133,5.4,7.1
331,Storks,"Animation,Adventure,Comedy",2016,87,6.9,72.66
332,American Sniper,"Action,Biography,Drama",2014,133,7.3,350.12
333,Dallas Buyers Club,"Biography,Drama",2013,117,8,27.3
334,Lincoln,"Biography,Drama,History",2012,150,7.4,182.2
335,Rush,"Action,Biography,Drama",2013,123,8.1,26.9
336,Before I Wake,"Drama,Fantasy,Horror",2016,97,6.1,
337,Silver Linings Playbook,"Comedy,Drama,Romance",2012,122,7.8,132.09
338,Tracktown,"Drama,Sport",2016,88,5.9,
339,The Fault in Our Stars,"Drama,Romance",2014,126,7.8,124.87
340,Blended,"Comedy,Romance",2014,117,6.5,46.28
341,Fast & Furious,"Action,Crime,Thriller",2009,107,6.6,155.02
342,Looper,"Action,Crime,Drama",2012,119,7.4,66.47
343,White House Down,"Action,Drama,Thriller",2013,131,6.4,73.1
344,Pete's Dragon,"Adventure,Family,Fantasy",2016,102,6.8,76.2
345,Spider-Man 3,"Action,Adventure",2007,139,6.2,336.53
346,The Three Musketeers,"Action,Adventure,Romance",2011,110,5.8,20.32
347,Stardust,"Adventure,Family,Fantasy",2007,127,7.7,38.35
348,American Hustle,"Crime,Drama",2013,138,7.3,150.12
349,Jennifer's Body,"Comedy,Horror",2009,102,5.1,16.2
350,Midnight in Paris,"Comedy,Fantasy,Romance",2011,94,7.7,56.82
351,Lady Macbeth,Drama,2016,89,7.3,
352,Joy,Drama,2015,124,6.6,56.44
353,The Dressmaker,"Comedy,Drama",2015,119,7.1,2.02
354,Caf茅 Society,"Comedy,Drama,Romance",2016,96,6.7,11.08
355,Insurgent,"Adventure,Sci-Fi,Thriller",2015,119,6.3,130
356,Seventh Son,"Action,Adventure,Fantasy",2014,102,5.5,17.18
357,Demain tout commence,"Comedy,Drama",2016,118,7.4,
358,The Theory of Everything,"Biography,Drama,Romance",2014,123,7.7,35.89
359,This Is the End,"Comedy,Fantasy",2013,107,6.6,101.47
360,About Time,"Comedy,Drama,Fantasy",2013,123,7.8,15.29
361,Step Brothers,Comedy,2008,98,6.9,100.47
362,Clown,"Horror,Thriller",2014,100,5.7,0.05
363,Star Trek Into Darkness,"Action,Adventure,Sci-Fi",2013,132,7.8,228.76
364,Zombieland,"Adventure,Comedy,Horror",2009,88,7.7,75.59
365,"Hail, Caesar!","Comedy,Mystery",2016,106,6.3,30
366,Slumdog Millionaire,Drama,2008,120,8,141.32
367,The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Drama,Fantasy",2012,115,5.5,292.3
368,American Wrestler: The Wizard,"Drama,Sport",2016,117,6.9,
369,The Amazing Spider-Man,"Action,Adventure",2012,136,7,262.03
370,Ben-Hur,"Action,Adventure,Drama",2016,123,5.7,26.38
371,Sleight,"Action,Drama,Sci-Fi",2016,89,6,3.85
372,The Maze Runner,"Action,Mystery,Sci-Fi",2014,113,6.8,102.41
373,Criminal,"Action,Crime,Drama",2016,113,6.3,14.27
374,Wanted,"Action,Crime,Fantasy",2008,110,6.7,134.57
375,Florence Foster Jenkins,"Biography,Comedy,Drama",2016,111,6.9,27.37
376,Collide,"Action,Crime,Thriller",2016,99,5.7,2.2
377,Black Mass,"Biography,Crime,Drama",2015,123,6.9,62.56
378,Creed,"Drama,Sport",2015,133,7.6,109.71
379,Swiss Army Man,"Adventure,Comedy,Drama",2016,97,7.1,4.21
380,The Expendables 3,"Action,Adventure,Thriller",2014,126,6.1,39.29
381,What We Do in the Shadows,"Comedy,Fantasy,Horror",2014,86,7.6,3.33
382,Southpaw,"Drama,Sport",2015,124,7.4,52.42
383,Hush,"Horror,Thriller",2016,81,6.6,
384,Bridge of Spies,"Drama,History,Thriller",2015,142,7.6,72.31
385,The Lego Movie,"Animation,Action,Adventure",2014,100,7.8,257.76
386,Everest,"Action,Adventure,Drama",2015,121,7.1,43.25
387,Pixels,"Action,Comedy,Family",2015,105,5.6,78.75
388,Robin Hood,"Action,Adventure,Drama",2010,140,6.7,105.22
389,The Wolverine,"Action,Adventure,Sci-Fi",2013,126,6.7,132.55
390,John Carter,"Action,Adventure,Sci-Fi",2012,132,6.6,73.06
391,Keanu,"Action,Comedy",2016,100,6.3,20.57
392,The Gunman,"Action,Crime,Drama",2015,115,5.8,10.64
393,Steve Jobs,"Biography,Drama",2015,122,7.2,17.75
394,Whisky Galore,"Comedy,Romance",2016,98,5,
395,Grown Ups 2,Comedy,2013,101,5.4,133.67
396,The Age of Adaline,"Drama,Fantasy,Romance",2015,112,7.2,42.48
397,The Incredible Hulk,"Action,Adventure,Sci-Fi",2008,112,6.8,134.52
